列车,起始站,到起始站时间,发车时间,到达站,出到达站时间,到达时间
G1516,松江站,13:43:30,13:43:33,花桥,13:43:46,13:43:43
G1517,上海南,13:43:57,13:44:00,花桥,13:44:13,13:44:10
G1518,上海南,13:44:37,13:44:40,松江站,13:44:50,13:44:50
G1518,松江站,13:44:50,13:44:53,花桥,13:45:06,13:45:03
G1519,上海南,13:45:17,13:45:20,花桥,13:45:33,13:45:30
G1520,上海南,13:45:57,13:46:00,松江站,13:46:10,13:46:10
G1520,松江站,13:46:10,13:46:13,花桥,13:46:26,13:46:23
G1521,上海南,13:46:37,13:46:40,花桥,13:46:53,13:46:50
G1522,上海南,13:47:17,13:47:20,松江站,13:47:30,13:47:30
G1522,松江站,13:47:30,13:47:33,花桥,13:47:46,13:47:43
G1523,上海南,13:47:57,13:48:00,花桥,13:48:13,13:48:10
G1524,上海南,13:48:37,13:48:40,松江站,13:48:50,13:48:50
G1524,松江站,13:48:50,13:48:53,花桥,13:49:06,13:49:03
G1525,上海南,13:49:17,13:49:20,花桥,13:49:33,13:49:30
G1526,上海南,13:49:57,13:50:00,松江站,13:50:10,13:50:10
G1526,松江站,13:50:10,13:50:13,花桥,13:50:26,13:50:23
G1527,上海南,13:50:37,13:50:40,花桥,13:50:53,13:50:50
G1528,上海南,13:51:17,13:51:20,松江站,13:51:30,13:51:30
G1528,松江站,13:51:30,13:51:33,花桥,13:51:46,13:51:43
G1529,上海南,13:51:57,13:52:00,花桥,13:52:13,13:52:10
G1530,上海南,13:52:37,13:52:40,松江站,13:52:50,13:52:50
G1530,松江站,13:52:50,13:52:53,花桥,13:53:06,13:53:03
G1531,上海南,13:53:17,13:53:20,花桥,13:53:33,13:53:30
G1532,上海南,13:53:57,13:54:00,松江站,13:54:10,13:54:10
G1532,松江站,13:54:10,13:54:13,花桥,13:54:26,13:54:23
G1533,上海南,13:54:37,13:54:40,花桥,13:54:53,13:54:50
G1534,上海南,13:55:17,13:55:20,松江站,13:55:30,13:55:30
G1534,松江站,13:55:30,13:55:33,花桥,13:55:46,13:55:43
G1535,上海南,13:55:57,13:56:00,花桥,13:56:13,13:56:10
G1536,上海南,13:56:37,13:56:40,松江站,13:56:50,13:56:50
G1536,松江站,13:56:50,13:56:53,花桥,13:57:06,13:57:03
G1537,上海南,13:57:17,13:57:20,花桥,13:57:33,13:57:30
G1538,上海南,13:57:57,13:58:00,松江站,13:58:10,13:58:10
G1538,松江站,13:58:10,13:58:13,花桥,13:58:26,13:58:23
G1539,上海南,13:58:37,13:58:40,花桥,13:58:53,13:58:50
G1540,上海南,13:59:17,13:59:20,松江站,13:59:30,13:59:30
G1540,松江站,13:59:30,13:59:33,花桥,13:59:46,13:59:43
G1541,上海南,13:59:57,14:00:00,花桥,14:00:13,14:00:10
G1542,上海南,14:00:37,14:00:40,松江站,14:00:50,14:00:50
G1542,松江站,14:00:50,14:00:53,花桥,14:01:06,14:01:03
G1543,上海南,14:01:17,14:01:20,花桥,14:01:33,14:01:30
G1544,上海南,14:01:57,14:02:00,松江站,14:02:10,14:02:10
G1544,松江站,14:02:10,14:02:13,花桥,14:02:26,14:02:23
G1545,上海南,14:02:37,14:02:40,花桥,14:02:53,14:02:50
G1546,上海南,14:03:17,14:03:20,松江站,14:03:30,14:03:30
G1546,松江站,14:03:30,14:03:33,花桥,14:03:46,14:03:43
G1547,上海南,14:03:57,14:04:00,花桥,14:04:13,14:04:10
G1548,上海南,14:04:37,14:04:40,松江站,14:04:50,14:04:50
G1548,松江站,14:04:50,14:04:53,花桥,14:05:06,14:05:03
G1549,上海南,14:05:17,14:05:20,花桥,14:05:33,14:05:30
G1550,上海南,14:05:57,14:06:00,松江站,14:06:10,14:06:10
G1550,松江站,14:06:10,14:06:13,花桥,14:06:26,14:06:23
G1551,上海南,14:06:37,14:06:40,花桥,14:06:53,14:06:50
G1552,上海南,14:07:17,14:07:20,松江站,14:07:30,14:07:30
G1552,松江站,14:07:30,14:07:33,花桥,14:07:46,14:07:43
G1553,上海南,14:07:57,14:08:00,花桥,14:08:13,14:08:10
G1554,上海南,14:08:37,14:08:40,松江站,14:08:50,14:08:50
G1554,松江站,14:08:50,14:08:53,花桥,14:09:06,14:09:03
G1555,上海南,14:09:17,14:09:20,花桥,14:09:33,14:09:30
G1556,上海南,14:09:57,14:10:00,松江站,14:10:10,14:10:10
G1556,松江站,14:10:10,14:10:13,花桥,14:10:26,14:10:23
G1557,上海南,14:10:37,14:10:40,花桥,14:10:53,14:10:50
G1558,上海南,14:11:17,14:11:20,松江站,14:11:30,14:11:30
G1558,松江站,14:11:30,14:11:33,花桥,14:11:46,14:11:43
G1559,上海南,14:11:57,14:12:00,花桥,14:12:13,14:12:10
G1560,上海南,14:12:37,14:12:40,松江站,14:12:50,14:12:50
G1560,松江站,14:12:50,14:12:53,花桥,14:13:06,14:13:03
G1561,上海南,14:13:17,14:13:20,花桥,14:13:33,14:13:30
G1562,上海南,14:13:57,14:14:00,松江站,14:14:10,14:14:10
G1562,松江站,14:14:10,14:14:13,花桥,14:14:26,14:14:23
G1563,上海南,14:14:37,14:14:40,花桥,14:14:53,14:14:50
G1564,上海南,14:15:17,14:15:20,松江站,14:15:30,14:15:30
G1564,松江站,14:15:30,14:15:33,花桥,14:15:46,14:15:43
G1565,上海南,14:15:57,14:16:00,花桥,14:16:13,14:16:10
G1566,上海南,14:16:37,14:16:40,松江站,14:16:50,14:16:50
G1566,松江站,14:16:50,14:16:53,花桥,14:17:06,14:17:03
G1567,上海南,14:17:17,14:17:20,花桥,14:17:33,14:17:30
G1568,上海南,14:17:57,14:18:00,松江站,14:18:10,14:18:10
G1568,松江站,14:18:10,14:18:13,花桥,14:18:26,14:18:23
G1569,上海南,14:18:37,14:18:40,花桥,14:18:53,14:18:50
G1570,上海南,14:19:17,14:19:20,松江站,14:19:30,14:19:30
G1570,松江站,14:19:30,14:19:33,花桥,14:19:46,14:19:43
G1571,上海南,14:19:57,14:20:00,花桥,14:20:13,14:20:10
G1572,上海南,14:20:37,14:20:40,松江站,14:20:50,14:20:50
G1572,松江站,14:20:50,14:20:53,花桥,14:21:06,14:21:03
G1573,上海南,14:21:17,14:21:20,花桥,14:21:33,14:21:30
G1574,上海南,14:21:57,14:22:00,松江站,14:22:10,14:22:10
G1574,松江站,14:22:10,14:22:13,花桥,14:22:26,14:22:23
G1575,上海南,14:22:37,14:22:40,花桥,14:22:53,14:22:50
G1576,上海南,14:23:17,14:23:20,松江站,14:23:30,14:23:30
G1576,松江站,14:23:30,14:23:33,花桥,14:23:46,14:23:43
G1577,上海南,14:23:57,14:24:00,花桥,14:24:13,14:24:10
G1578,上海南,14:24:37,14:24:40,松江站,14:24:50,14:24:50
G1578,松江站,14:24:50,14:24:53,花桥,14:25:06,14:25:03
G1579,上海南,14:25:17,14:25:20,花桥,14:25:33,14:25:30
G1580,上海南,14:25:57,14:26:00,松江站,14:26:10,14:26:10
G1580,松江站,14:26:10,14:26:13,花桥,14:26:26,14:26:23
G1581,上海南,14:26:37,14:26:40,花桥,14:26:53,14:26:50
G1582,上海南,14:27:17,14:27:20,松江站,14:27:30,14:27:30
G1582,松江站,14:27:30,14:27:33,花桥,14:27:46,14:27:43
G1583,上海南,14:27:57,14:28:00,花桥,14:28:13,14:28:10
G1584,上海南,14:28:37,14:28:40,松江站,14:28:50,14:28:50
G1584,松江站,14:28:50,14:28:53,花桥,14:29:06,14:29:03
G1585,上海南,14:29:17,14:29:20,花桥,14:29:33,14:29:30
G1586,上海南,14:29:57,14:30:00,松江站,14:30:10,14:30:10
G1586,松江站,14:30:10,14:30:13,花桥,14:30:26,14:30:23
G1587,上海南,14:30:37,14:30:40,花桥,14:30:53,14:30:50
G1588,上海南,14:31:17,14:31:20,松江站,14:31:30,14:31:30
G1588,松江站,14:31:30,14:31:33,花桥,14:31:46,14:31:43
G1589,上海南,14:31:57,14:32:00,花桥,14:32:13,14:32:10
G1590,上海南,14:32:37,14:32:40,松江站,14:32:50,14:32:50
G1590,松江站,14:32:50,14:32:53,花桥,14:33:06,14:33:03
G1591,上海南,14:33:17,14:33:20,花桥,14:33:33,14:33:30
G1592,上海南,14:33:57,14:34:00,松江站,14:34:10,14:34:10
G1592,松江站,14:34:10,14:34:13,花桥,14:34:26,14:34:23
G1593,上海南,14:34:37,14:34:40,花桥,14:34:53,14:34:50
G1594,上海南,14:35:17,14:35:20,松江站,14:35:30,14:35:30
G1594,松江站,14:35:30,14:35:33,花桥,14:35:46,14:35:43
G1595,上海南,14:35:57,14:36:00,花桥,14:36:13,14:36:10
G1596,上海南,14:36:37,14:36:40,松江站,14:36:50,14:36:50
G1596,松江站,14:36:50,14:36:53,花桥,14:37:06,14:37:03
G1597,上海南,14:37:17,14:37:20,花桥,14:37:33,14:37:30
G1598,上海南,14:37:57,14:38:00,松江站,14:38:10,14:38:10
G1598,松江站,14:38:10,14:38:13,花桥,14:38:26,14:38:23
G1599,上海南,14:38:37,14:38:40,花桥,14:38:53,14:38:50
G1600,上海南,14:39:17,14:39:20,松江站,14:39:30,14:39:30
G1600,松江站,14:39:30,14:39:33,花桥,14:39:46,14:39:43
G1601,上海南,14:39:57,14:40:00,花桥,14:40:13,14:40:10
G1602,上海南,14:40:37,14:40:40,松江站,14:40:50,14:40:50
G1602,松江站,14:40:50,14:40:53,花桥,14:41:06,14:41:03
G1603,上海南,14:41:17,14:41:20,花桥,14:41:33,14:41:30
G1604,上海南,14:41:57,14:42:00,松江站,14:42:10,14:42:10
G1604,松江站,14:42:10,14:42:13,花桥,14:42:26,14:42:23
G1605,上海南,14:42:37,14:42:40,花桥,14:42:53,14:42:50
G1606,上海南,14:43:17,14:43:20,松江站,14:43:30,14:43:30
G1606,松江站,14:43:30,14:43:33,花桥,14:43:46,14:43:43
G1607,上海南,14:43:57,14:44:00,花桥,14:44:13,14:44:10
G1608,上海南,14:44:37,14:44:40,松江站,14:44:50,14:44:50
G1608,松江站,14:44:50,14:44:53,花桥,14:45:06,14:45:03
G1609,上海南,14:45:17,14:45:20,花桥,14:45:33,14:45:30
G1610,上海南,14:45:57,14:46:00,松江站,14:46:10,14:46:10
G1610,松江站,14:46:10,14:46:13,花桥,14:46:26,14:46:23
G1611,上海南,14:46:37,14:46:40,花桥,14:46:53,14:46:50
G1612,上海南,14:47:17,14:47:20,松江站,14:47:30,14:47:30
G1612,松江站,14:47:30,14:47:33,花桥,14:47:46,14:47:43
G1613,上海南,14:47:57,14:48:00,花桥,14:48:13,14:48:10
G1614,上海南,14:48:37,14:48:40,松江站,14:48:50,14:48:50
G1614,松江站,14:48:50,14:48:53,花桥,14:49:06,14:49:03
G1615,上海南,14:49:17,14:49:20,花桥,14:49:33,14:49:30
G1616,上海南,14:49:57,14:50:00,松江站,14:50:10,14:50:10
G1616,松江站,14:50:10,14:50:13,花桥,14:50:26,14:50:23
G1617,上海南,14:50:37,14:50:40,花桥,14:50:53,14:50:50
G1618,上海南,14:51:17,14:51:20,松江站,14:51:30,14:51:30
G1618,松江站,14:51:30,14:51:33,花桥,14:51:46,14:51:43
G1619,上海南,14:51:57,14:52:00,花桥,14:52:13,14:52:10
G1620,上海南,14:52:37,14:52:40,松江站,14:52:50,14:52:50
G1620,松江站,14:52:50,14:52:53,花桥,14:53:06,14:53:03
G1621,上海南,14:53:17,14:53:20,花桥,14:53:33,14:53:30
G1622,上海南,14:53:57,14:54:00,松江站,14:54:10,14:54:10
G1622,松江站,14:54:10,14:54:13,花桥,14:54:26,14:54:23
G1623,上海南,14:54:37,14:54:40,花桥,14:54:53,14:54:50
G1624,上海南,14:55:17,14:55:20,松江站,14:55:30,14:55:30
G1624,松江站,14:55:30,14:55:33,花桥,14:55:46,14:55:43
G1625,上海南,14:55:57,14:56:00,花桥,14:56:13,14:56:10
G1626,上海南,14:56:37,14:56:40,松江站,14:56:50,14:56:50
G1626,松江站,14:56:50,14:56:53,花桥,14:57:06,14:57:03
G1627,上海南,14:57:17,14:57:20,花桥,14:57:33,14:57:30
G1628,上海南,14:57:57,14:58:00,松江站,14:58:10,14:58:10
G1628,松江站,14:58:10,14:58:13,花桥,14:58:26,14:58:23
G1629,上海南,14:58:37,14:58:40,花桥,14:58:53,14:58:50
G1630,上海南,14:59:17,14:59:20,松江站,14:59:30,14:59:30
G1630,松江站,14:59:30,14:59:33,花桥,14:59:46,14:59:43
G1631,上海南,14:59:57,15:00:00,花桥,15:00:13,15:00:10
G1632,上海南,15:00:37,15:00:40,松江站,15:00:50,15:00:50
G1632,松江站,15:00:50,15:00:53,花桥,15:01:06,15:01:03
G1633,上海南,15:01:17,15:01:20,花桥,15:01:33,15:01:30
G1634,上海南,15:01:57,15:02:00,松江站,15:02:10,15:02:10
G1634,松江站,15:02:10,15:02:13,花桥,15:02:26,15:02:23
G1635,上海南,15:02:37,15:02:40,花桥,15:02:53,15:02:50
G1636,上海南,15:03:17,15:03:20,松江站,15:03:30,15:03:30
G1636,松江站,15:03:30,15:03:33,花桥,15:03:46,15:03:43
G1637,上海南,15:03:57,15:04:00,花桥,15:04:13,15:04:10
G1638,上海南,15:04:37,15:04:40,松江站,15:04:50,15:04:50
G1638,松江站,15:04:50,15:04:53,花桥,15:05:06,15:05:03
G1639,上海南,15:05:17,15:05:20,花桥,15:05:33,15:05:30
G1640,上海南,15:05:57,15:06:00,松江站,15:06:10,15:06:10
G1640,松江站,15:06:10,15:06:13,花桥,15:06:26,15:06:23
G1641,上海南,15:06:37,15:06:40,花桥,15:06:53,15:06:50
G1642,上海南,15:07:17,15:07:20,松江站,15:07:30,15:07:30
G1642,松江站,15:07:30,15:07:33,花桥,15:07:46,15:07:43
G1643,上海南,15:07:57,15:08:00,花桥,15:08:13,15:08:10
G1644,上海南,15:08:37,15:08:40,松江站,15:08:50,15:08:50
G1644,松江站,15:08:50,15:08:53,花桥,15:09:06,15:09:03
G1645,上海南,15:09:17,15:09:20,花桥,15:09:33,15:09:30
G1646,上海南,15:09:57,15:10:00,松江站,15:10:10,15:10:10
G1646,松江站,15:10:10,15:10:13,花桥,15:10:26,15:10:23
G1647,上海南,15:10:37,15:10:40,花桥,15:10:53,15:10:50
G1648,上海南,15:11:17,15:11:20,松江站,15:11:30,15:11:30
G1648,松江站,15:11:30,15:11:33,花桥,15:11:46,15:11:43
G1649,上海南,15:11:57,15:12:00,花桥,15:12:13,15:12:10
G1650,上海南,15:12:37,15:12:40,松江站,15:12:50,15:12:50
G1650,松江站,15:12:50,15:12:53,花桥,15:13:06,15:13:03
G1651,上海南,15:13:17,15:13:20,花桥,15:13:33,15:13:30
G1652,上海南,15:13:57,15:14:00,松江站,15:14:10,15:14:10
G1652,松江站,15:14:10,15:14:13,花桥,15:14:26,15:14:23
G1653,上海南,15:14:37,15:14:40,花桥,15:14:53,15:14:50
G1654,上海南,15:15:17,15:15:20,松江站,15:15:30,15:15:30
G1654,松江站,15:15:30,15:15:33,花桥,15:15:46,15:15:43
G1655,上海南,15:15:57,15:16:00,花桥,15:16:13,15:16:10
G1656,上海南,15:16:37,15:16:40,松江站,15:16:50,15:16:50
G1656,松江站,15:16:50,15:16:53,花桥,15:17:06,15:17:03
G1657,上海南,15:17:17,15:17:20,花桥,15:17:33,15:17:30
G1658,上海南,15:17:57,15:18:00,松江站,15:18:10,15:18:10
G1658,松江站,15:18:10,15:18:13,花桥,15:18:26,15:18:23
G1659,上海南,15:18:37,15:18:40,花桥,15:18:53,15:18:50
G1660,上海南,15:19:17,15:19:20,松江站,15:19:30,15:19:30
G1660,松江站,15:19:30,15:19:33,花桥,15:19:46,15:19:43
G1661,上海南,15:19:57,15:20:00,花桥,15:20:13,15:20:10
G1662,上海南,15:20:37,15:20:40,松江站,15:20:50,15:20:50
G1662,松江站,15:20:50,15:20:53,花桥,15:21:06,15:21:03
G1663,上海南,15:21:17,15:21:20,花桥,15:21:33,15:21:30
G1664,上海南,15:21:57,15:22:00,松江站,15:22:10,15:22:10
G1664,松江站,15:22:10,15:22:13,花桥,15:22:26,15:22:23
G1665,上海南,15:22:37,15:22:40,花桥,15:22:53,15:22:50
G1666,上海南,15:23:17,15:23:20,松江站,15:23:30,15:23:30
G1666,松江站,15:23:30,15:23:33,花桥,15:23:46,15:23:43
G1667,上海南,15:23:57,15:24:00,花桥,15:24:13,15:24:10
G1668,上海南,15:24:37,15:24:40,松江站,15:24:50,15:24:50
G1668,松江站,15:24:50,15:24:53,花桥,15:25:06,15:25:03
G1669,上海南,15:25:17,15:25:20,花桥,15:25:33,15:25:30
G1670,上海南,15:25:57,15:26:00,松江站,15:26:10,15:26:10
G1670,松江站,15:26:10,15:26:13,花桥,15:26:26,15:26:23
G1671,上海南,15:26:37,15:26:40,花桥,15:26:53,15:26:50
G1672,上海南,15:27:17,15:27:20,松江站,15:27:30,15:27:30
G1672,松江站,15:27:30,15:27:33,花桥,15:27:46,15:27:43
G1673,上海南,15:27:57,15:28:00,花桥,15:28:13,15:28:10
G1674,上海南,15:28:37,15:28:40,松江站,15:28:50,15:28:50
G1674,松江站,15:28:50,15:28:53,花桥,15:29:06,15:29:03
G1675,上海南,15:29:17,15:29:20,花桥,15:29:33,15:29:30
G1676,上海南,15:29:57,15:30:00,松江站,15:30:10,15:30:10
G1676,松江站,15:30:10,15:30:13,花桥,15:30:26,15:30:23
G1677,上海南,15:30:37,15:30:40,花桥,15:30:53,15:30:50
G1678,上海南,15:31:17,15:31:20,松江站,15:31:30,15:31:30
G1678,松江站,15:31:30,15:31:33,花桥,15:31:46,15:31:43
G1679,上海南,15:31:57,15:32:00,花桥,15:32:13,15:32:10
G1680,上海南,15:32:37,15:32:40,松江站,15:32:50,15:32:50
G1680,松江站,15:32:50,15:32:53,花桥,15:33:06,15:33:03
G1681,上海南,15:33:17,15:33:20,花桥,15:33:33,15:33:30
G1682,上海南,15:33:57,15:34:00,松江站,15:34:10,15:34:10
G1682,松江站,15:34:10,15:34:13,花桥,15:34:26,15:34:23
G1683,上海南,15:34:37,15:34:40,花桥,15:34:53,15:34:50
G1684,上海南,15:35:17,15:35:20,松江站,15:35:30,15:35:30
G1684,松江站,15:35:30,15:35:33,花桥,15:35:46,15:35:43
G1685,上海南,15:35:57,15:36:00,花桥,15:36:13,15:36:10
G1686,上海南,15:36:37,15:36:40,松江站,15:36:50,15:36:50
G1686,松江站,15:36:50,15:36:53,花桥,15:37:06,15:37:03
G1687,上海南,15:37:17,15:37:20,花桥,15:37:33,15:37:30
G1688,上海南,15:37:57,15:38:00,松江站,15:38:10,15:38:10
G1688,松江站,15:38:10,15:38:13,花桥,15:38:26,15:38:23
G1689,上海南,15:38:37,15:38:40,花桥,15:38:53,15:38:50
G1690,上海南,15:39:17,15:39:20,松江站,15:39:30,15:39:30
G1690,松江站,15:39:30,15:39:33,花桥,15:39:46,15:39:43
G1691,上海南,15:39:57,15:40:00,花桥,15:40:13,15:40:10
G1692,上海南,15:40:37,15:40:40,松江站,15:40:50,15:40:50
G1692,松江站,15:40:50,15:40:53,花桥,15:41:06,15:41:03
G1693,上海南,15:41:17,15:41:20,花桥,15:41:33,15:41:30
G1694,上海南,15:41:57,15:42:00,松江站,15:42:10,15:42:10
G1694,松江站,15:42:10,15:42:13,花桥,15:42:26,15:42:23
G1695,上海南,15:42:37,15:42:40,花桥,15:42:53,15:42:50
G1696,上海南,15:43:17,15:43:20,松江站,15:43:30,15:43:30
G1696,松江站,15:43:30,15:43:33,花桥,15:43:46,15:43:43
G1697,上海南,15:43:57,15:44:00,花桥,15:44:13,15:44:10
G1698,上海南,15:44:37,15:44:40,松江站,15:44:50,15:44:50
G1698,松江站,15:44:50,15:44:53,花桥,15:45:06,15:45:03
G1699,上海南,15:45:17,15:45:20,花桥,15:45:33,15:45:30
G1700,上海南,15:45:57,15:46:00,松江站,15:46:10,15:46:10
G1700,松江站,15:46:10,15:46:13,花桥,15:46:26,15:46:23
G1701,上海南,15:46:37,15:46:40,花桥,15:46:53,15:46:50
G1702,上海南,15:47:17,15:47:20,松江站,15:47:30,15:47:30
G1702,松江站,15:47:30,15:47:33,花桥,15:47:46,15:47:43
G1703,上海南,15:47:57,15:48:00,花桥,15:48:13,15:48:10
G1704,上海南,15:48:37,15:48:40,松江站,15:48:50,15:48:50
G1704,松江站,15:48:50,15:48:53,花桥,15:49:06,15:49:03
G1705,上海南,15:49:17,15:49:20,花桥,15:49:33,15:49:30
G1706,上海南,15:49:57,15:50:00,松江站,15:50:10,15:50:10
G1706,松江站,15:50:10,15:50:13,花桥,15:50:26,15:50:23
G1707,上海南,15:50:37,15:50:40,花桥,15:50:53,15:50:50
G1708,上海南,15:51:17,15:51:20,松江站,15:51:30,15:51:30
G1708,松江站,15:51:30,15:51:33,花桥,15:51:46,15:51:43
G1709,上海南,15:51:57,15:52:00,花桥,15:52:13,15:52:10
G1710,上海南,15:52:37,15:52:40,松江站,15:52:50,15:52:50
G1710,松江站,15:52:50,15:52:53,花桥,15:53:06,15:53:03
G1711,上海南,15:53:17,15:53:20,花桥,15:53:33,15:53:30
G1712,上海南,15:53:57,15:54:00,松江站,15:54:10,15:54:10
G1712,松江站,15:54:10,15:54:13,花桥,15:54:26,15:54:23
G1713,上海南,15:54:37,15:54:40,花桥,15:54:53,15:54:50
G1714,上海南,15:55:17,15:55:20,松江站,15:55:30,15:55:30
G1714,松江站,15:55:30,15:55:33,花桥,15:55:46,15:55:43
G1715,上海南,15:55:57,15:56:00,花桥,15:56:13,15:56:10
G1716,上海南,15:56:37,15:56:40,松江站,15:56:50,15:56:50
G1716,松江站,15:56:50,15:56:53,花桥,15:57:06,15:57:03
G1717,上海南,15:57:17,15:57:20,花桥,15:57:33,15:57:30
G1718,上海南,15:57:57,15:58:00,松江站,15:58:10,15:58:10
G1718,松江站,15:58:10,15:58:13,花桥,15:58:26,15:58:23
G1719,上海南,15:58:37,15:58:40,花桥,15:58:53,15:58:50
G1720,上海南,15:59:17,15:59:20,松江站,15:59:30,15:59:30
G1720,松江站,15:59:30,15:59:33,花桥,15:59:46,15:59:43
G1721,上海南,15:59:57,16:00:00,花桥,16:00:13,16:00:10
G1722,上海南,16:00:37,16:00:40,松江站,16:00:50,16:00:50
G1722,松江站,16:00:50,16:00:53,花桥,16:01:06,16:01:03
G1723,上海南,16:01:17,16:01:20,花桥,16:01:33,16:01:30
G1724,上海南,16:01:57,16:02:00,松江站,16:02:10,16:02:10
G1724,松江站,16:02:10,16:02:13,花桥,16:02:26,16:02:23
G1725,上海南,16:02:37,16:02:40,花桥,16:02:53,16:02:50
G1726,上海南,16:03:17,16:03:20,松江站,16:03:30,16:03:30
G1726,松江站,16:03:30,16:03:33,花桥,16:03:46,16:03:43
G1727,上海南,16:03:57,16:04:00,花桥,16:04:13,16:04:10
G1728,上海南,16:04:37,16:04:40,松江站,16:04:50,16:04:50
G1728,松江站,16:04:50,16:04:53,花桥,16:05:06,16:05:03
G1729,上海南,16:05:17,16:05:20,花桥,16:05:33,16:05:30
G1730,上海南,16:05:57,16:06:00,松江站,16:06:10,16:06:10
G1730,松江站,16:06:10,16:06:13,花桥,16:06:26,16:06:23
G1731,上海南,16:06:37,16:06:40,花桥,16:06:53,16:06:50
G1732,上海南,16:07:17,16:07:20,松江站,16:07:30,16:07:30
G1732,松江站,16:07:30,16:07:33,花桥,16:07:46,16:07:43
G1733,上海南,16:07:57,16:08:00,花桥,16:08:13,16:08:10
G1734,上海南,16:08:37,16:08:40,松江站,16:08:50,16:08:50
G1734,松江站,16:08:50,16:08:53,花桥,16:09:06,16:09:03
G1735,上海南,16:09:17,16:09:20,花桥,16:09:33,16:09:30
G1736,上海南,16:09:57,16:10:00,松江站,16:10:10,16:10:10
G1736,松江站,16:10:10,16:10:13,花桥,16:10:26,16:10:23
G1737,上海南,16:10:37,16:10:40,花桥,16:10:53,16:10:50
G1738,上海南,16:11:17,16:11:20,松江站,16:11:30,16:11:30
G1738,松江站,16:11:30,16:11:33,花桥,16:11:46,16:11:43
G1739,上海南,16:11:57,16:12:00,花桥,16:12:13,16:12:10
G1740,上海南,16:12:37,16:12:40,松江站,16:12:50,16:12:50
G1740,松江站,16:12:50,16:12:53,花桥,16:13:06,16:13:03
G1741,上海南,16:13:17,16:13:20,花桥,16:13:33,16:13:30
G1742,上海南,16:13:57,16:14:00,松江站,16:14:10,16:14:10
G1742,松江站,16:14:10,16:14:13,花桥,16:14:26,16:14:23
G1743,上海南,16:14:37,16:14:40,花桥,16:14:53,16:14:50
G1744,上海南,16:15:17,16:15:20,松江站,16:15:30,16:15:30
G1744,松江站,16:15:30,16:15:33,花桥,16:15:46,16:15:43
G1745,上海南,16:15:57,16:16:00,花桥,16:16:13,16:16:10
G1746,上海南,16:16:37,16:16:40,松江站,16:16:50,16:16:50
G1746,松江站,16:16:50,16:16:53,花桥,16:17:06,16:17:03
G1747,上海南,16:17:17,16:17:20,花桥,16:17:33,16:17:30
G1748,上海南,16:17:57,16:18:00,松江站,16:18:10,16:18:10
G1748,松江站,16:18:10,16:18:13,花桥,16:18:26,16:18:23
G1749,上海南,16:18:37,16:18:40,花桥,16:18:53,16:18:50
G1750,上海南,16:19:17,16:19:20,松江站,16:19:30,16:19:30
G1750,松江站,16:19:30,16:19:33,花桥,16:19:46,16:19:43
G1751,上海南,16:19:57,16:20:00,花桥,16:20:13,16:20:10
G1752,上海南,16:20:37,16:20:40,松江站,16:20:50,16:20:50
G1752,松江站,16:20:50,16:20:53,花桥,16:21:06,16:21:03
G1753,上海南,16:21:17,16:21:20,花桥,16:21:33,16:21:30
G1754,上海南,16:21:57,16:22:00,松江站,16:22:10,16:22:10
G1754,松江站,16:22:10,16:22:13,花桥,16:22:26,16:22:23
G1755,上海南,16:22:37,16:22:40,花桥,16:22:53,16:22:50
G1756,上海南,16:23:17,16:23:20,松江站,16:23:30,16:23:30
G1756,松江站,16:23:30,16:23:33,花桥,16:23:46,16:23:43
G1757,上海南,16:23:57,16:24:00,花桥,16:24:13,16:24:10
G1758,上海南,16:24:37,16:24:40,松江站,16:24:50,16:24:50
G1758,松江站,16:24:50,16:24:53,花桥,16:25:06,16:25:03
G1759,上海南,16:25:17,16:25:20,花桥,16:25:33,16:25:30
G1760,上海南,16:25:57,16:26:00,松江站,16:26:10,16:26:10
G1760,松江站,16:26:10,16:26:13,花桥,16:26:26,16:26:23
G1761,上海南,16:26:37,16:26:40,花桥,16:26:53,16:26:50
G1762,上海南,16:27:17,16:27:20,松江站,16:27:30,16:27:30
G1762,松江站,16:27:30,16:27:33,花桥,16:27:46,16:27:43
G1763,上海南,16:27:57,16:28:00,花桥,16:28:13,16:28:10
G1764,上海南,16:28:37,16:28:40,松江站,16:28:50,16:28:50
G1764,松江站,16:28:50,16:28:53,花桥,16:29:06,16:29:03
G1765,上海南,16:29:17,16:29:20,花桥,16:29:33,16:29:30
G1766,上海南,16:29:57,16:30:00,松江站,16:30:10,16:30:10
G1766,松江站,16:30:10,16:30:13,花桥,16:30:26,16:30:23
G1767,上海南,16:30:37,16:30:40,花桥,16:30:53,16:30:50
G1768,上海南,16:31:17,16:31:20,松江站,16:31:30,16:31:30
G1768,松江站,16:31:30,16:31:33,花桥,16:31:46,16:31:43
G1769,上海南,16:31:57,16:32:00,花桥,16:32:13,16:32:10
G1770,上海南,16:32:37,16:32:40,松江站,16:32:50,16:32:50
G1770,松江站,16:32:50,16:32:53,花桥,16:33:06,16:33:03
G1771,上海南,16:33:17,16:33:20,花桥,16:33:33,16:33:30
G1772,上海南,16:33:57,16:34:00,松江站,16:34:10,16:34:10
G1772,松江站,16:34:10,16:34:13,花桥,16:34:26,16:34:23
G1773,上海南,16:34:37,16:34:40,花桥,16:34:53,16:34:50
G1774,上海南,16:35:17,16:35:20,松江站,16:35:30,16:35:30
